name,dayOfWeek,opens_time,closes_time
豆麻麻雞排店,Friday,18:00,23:59
豆麻麻雞排店,Saturday,18:00,23:59
豆麻麻雞排店,Sunday,18:00,23:59
豆麻麻雞排店,Wednesday,00:00,01:00
豆麻麻雞排店,Thursday,00:00,01:00
豆麻麻雞排店,Saturday,00:00,02:00
豆麻麻雞排店,Sunday,00:00,02:00
秧米 (台北市府店),Monday,00:00,03:00
秧米 (台北市府店),Tuesday,00:00,03:00
秧米 (台北市府店),Wednesday,00:00,03:00
秧米 (台北市府店),Thursday,00:00,03:00
秧米 (台北市府店),Friday,00:00,03:00
秧米 (台北市府店),Saturday,00:00,03:00
秧米 (台北市府店),Sunday,00:00,03:00
秧米 (台北市府店),Monday,10:00,23:59
秧米 (台北市府店),Tuesday,10:00,23:59
秧米 (台北市府店),Wednesday,10:00,23:59
秧米 (台北市府店),Thursday,10:00,23:59
秧米 (台北市府店),Friday,10:00,23:59
秧米 (台北市府店),Saturday,10:00,23:59
秧米 (台北市府店),Sunday,10:00,23:59
三媽臭臭鍋 (松山饒河店),Monday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Tuesday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Wednesday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Thursday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Friday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Saturday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Sunday,11:00,23:59
三媽臭臭鍋 (松山饒河店),Monday,00:00,02:00
三媽臭臭鍋 (松山饒河店),Tuesday,00:00,02:00
三媽臭臭鍋 (松山饒河店),Wednesday,00:00,02:00
三媽臭臭鍋 (松山饒河店),Thursday,00:00,02:00
三媽臭臭鍋 (松山饒河店),Friday,00:00,02:00
三媽臭臭鍋 (松山饒河店),Saturday,00:00,02:00
三媽臭臭鍋 (松山饒河店),Sunday,00:00,02:00
すき家 Sukiya (松山站前店),Monday,00:00,23:59
すき家 Sukiya (松山站前店),Tuesday,00:00,23:59
すき家 Sukiya (松山站前店),Wednesday,00:00,23:59
すき家 Sukiya (松山站前店),Thursday,00:00,23:59
すき家 Sukiya (松山站前店),Friday,00:00,23:59
すき家 Sukiya (松山站前店),Saturday,00:00,23:59
すき家 Sukiya (松山站前店),Sunday,00:00,23:59
韓勾a韓式烤肉便當專賣店,Monday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Tuesday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Wednesday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Thursday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Friday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Saturday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Sunday,10:30,23:59
韓勾a韓式烤肉便當專賣店,Monday,00:00,01:00
韓勾a韓式烤肉便當專賣店,Tuesday,00:00,01:00
韓勾a韓式烤肉便當專賣店,Wednesday,00:00,01:00
韓勾a韓式烤肉便當專賣店,Thursday,00:00,01:00
韓勾a韓式烤肉便當專賣店,Friday,00:00,01:00
韓勾a韓式烤肉便當專賣店,Saturday,00:00,01:00
韓勾a韓式烤肉便當專賣店,Sunday,00:00,01:00
東引快刀手,Monday,11:00,23:59
東引快刀手,Tuesday,11:00,23:59
東引快刀手,Wednesday,11:00,23:59
東引快刀手,Thursday,11:00,23:59
東引快刀手,Friday,11:00,23:59
東引快刀手,Saturday,11:00,23:59
東引快刀手,Sunday,11:00,23:59
東引快刀手,Monday,00:00,02:00
東引快刀手,Tuesday,00:00,02:00
東引快刀手,Wednesday,00:00,02:00
東引快刀手,Thursday,00:00,02:00
東引快刀手,Friday,00:00,02:00
東引快刀手,Saturday,00:00,02:00
東引快刀手,Sunday,00:00,02:00
jao ho chao fan mien,Monday,11:00,14:00
jao ho chao fan mien,Tuesday,11:00,14:00
jao ho chao fan mien,Thursday,11:00,14:00
jao ho chao fan mien,Friday,11:00,14:00
jao ho chao fan mien,Sunday,11:00,14:00
jao ho chao fan mien,Monday,00:00,03:00
jao ho chao fan mien,Tuesday,00:00,03:00
jao ho chao fan mien,Wednesday,00:00,03:00
jao ho chao fan mien,Thursday,00:00,03:00
jao ho chao fan mien,Friday,00:00,03:00
jao ho chao fan mien,Saturday,00:00,03:00
jao ho chao fan mien,Sunday,00:00,03:00
jao ho chao fan mien,Monday,17:00,23:59
jao ho chao fan mien,Tuesday,17:00,23:59
jao ho chao fan mien,Wednesday,17:00,23:59
jao ho chao fan mien,Thursday,17:00,23:59
jao ho chao fan mien,Friday,17:00,23:59
jao ho chao fan mien,Saturday,17:00,23:59
jao ho chao fan mien,Sunday,17:00,23:59
jao ho chao fan mien,Wednesday,11:15,14:00
jao ho chao fan mien,Saturday,11:30,14:00
齒牛香牛肉麵,Monday,10:00,23:59
齒牛香牛肉麵,Tuesday,10:00,23:59
齒牛香牛肉麵,Wednesday,10:00,23:59
齒牛香牛肉麵,Thursday,10:00,23:59
齒牛香牛肉麵,Friday,10:00,23:59
齒牛香牛肉麵,Saturday,10:00,23:59
齒牛香牛肉麵,Sunday,10:00,23:59
